key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_4.rt
return,15.0014,space,18.1353,space,0.3958,,0,0,0,104,1,E, , , , ,space,2000,2,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.2952,,0,1,1,176,1,N, , , , ,space,1500,1.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.4151,,0,2,2,230,1,U, , , , ,space,1500,1.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.2895,,0,3,3,16,1,D, , , , ,space,1500,1.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.3971,,0,4,4,198,1,H, , , , ,space,2500,2.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,,,,0,5,5,129,1,X,2,3,5, ,,1500,1.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.3576,,0,6,6,25,1,Z, , , , ,space,2500,2.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,,,,0,7,7,141,1,X,1, ,4,6,,1500,1.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.5254,,0,8,8,91,1,L, , , , ,space,2000,2,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.423,,0,9,9,276,1,H, , , , ,space,2000,2,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,,,,0,10,10,18,1,X, ,2,5,8,,2500,2.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.3809,,0,11,11,301,1,P, , , , ,space,1500,1.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.3632,,0,12,12,210,1,M, , , , ,space,1500,1.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.4018,,0,13,13,222,1,O, , , , ,space,2000,2,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.3553,,0,14,14,95,1,V, , , , ,space,1500,1.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.3192,,0,15,15,220,1,U, , , , ,space,2500,2.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.3701,,0,16,16,164,1,H, , , , ,space,2500,2.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.6372,,0,17,17,335,1,P,,,,,space,1500,1.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.454,,0,18,18,310,1,J, , , , ,space,2500,2.5,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
,,,,space,0.4458,,0,19,19,83,1,D, , , , ,space,2000,2,5e45f2a9954b010de2947f3e,001,2021-08-19_15h07.02.736,natb3,2021.2.3,Linux x86_64,60.06006006,5e45f2a9954b010de2947f3e,611e07ecdcc96256ae8d5b80,611e656a95469e55d3811e35,
