key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_4.rt
return,30.09,space,12.845,space,0.633,,0,0,0,288,1,M, , , , ,space,1500,1.5,5ebba48f7e02a0174ea835a9,001,2021-08-19_16h30.20.318,natb3,2021.2.3,Win32,60.0240096,5ebba48f7e02a0174ea835a9,611e07ecdcc96256ae8d5b80,611e78f86ad5fd0a2282fd39,
,,,,space,0.434,,0,1,1,185,1,Y, , , , ,space,2500,2.5,5ebba48f7e02a0174ea835a9,001,2021-08-19_16h30.20.318,natb3,2021.2.3,Win32,60.0240096,5ebba48f7e02a0174ea835a9,611e07ecdcc96256ae8d5b80,611e78f86ad5fd0a2282fd39,
,,,,space,0.351,,0,2,2,163,1,G, , , , ,space,2500,2.5,5ebba48f7e02a0174ea835a9,001,2021-08-19_16h30.20.318,natb3,2021.2.3,Win32,60.0240096,5ebba48f7e02a0174ea835a9,611e07ecdcc96256ae8d5b80,611e78f86ad5fd0a2282fd39,
,,,,space,0.45,,0,3,3,62,1,V, , , , ,space,1500,1.5,5ebba48f7e02a0174ea835a9,001,2021-08-19_16h30.20.318,natb3,2021.2.3,Win32,60.0240096,5ebba48f7e02a0174ea835a9,611e07ecdcc96256ae8d5b80,611e78f86ad5fd0a2282fd39,
,,,,space,0.452,,0,4,4,201,1,K, , , , ,space,1500,1.5,5ebba48f7e02a0174ea835a9,001,2021-08-19_16h30.20.318,natb3,2021.2.3,Win32,60.0240096,5ebba48f7e02a0174ea835a9,611e07ecdcc96256ae8d5b80,611e78f86ad5fd0a2282fd39,
,,,,space,0.433,,0,5,5,180,1,W, , , , ,space,2000,2,5ebba48f7e02a0174ea835a9,001,2021-08-19_16h30.20.318,natb3,2021.2.3,Win32,60.0240096,5ebba48f7e02a0174ea835a9,611e07ecdcc96256ae8d5b80,611e78f86ad5fd0a2282fd39,
,,,,space,0.433,,0,6,6,83,1,D, , , , ,space,2000,2,5ebba48f7e02a0174ea835a9,001,2021-08-19_16h30.20.318,natb3,2021.2.3,Win32,60.0240096,5ebba48f7e02a0174ea835a9,611e07ecdcc96256ae8d5b80,611e78f86ad5fd0a2282fd39,
,,,,space,0.484,,0,7,7,321,1,N, , , , ,space,2000,2,5ebba48f7e02a0174ea835a9,001,2021-08-19_16h30.20.318,natb3,2021.2.3,Win32,60.0240096,5ebba48f7e02a0174ea835a9,611e07ecdcc96256ae8d5b80,611e78f86ad5fd0a2282fd39,
,,,,space,0.399,,0,8,8,29,1,B, , , , ,space,1500,1.5,5ebba48f7e02a0174ea835a9,001,2021-08-19_16h30.20.318,natb3,2021.2.3,Win32,60.0240096,5ebba48f7e02a0174ea835a9,611e07ecdcc96256ae8d5b80,611e78f86ad5fd0a2282fd39,
,,,,space,0.334,,0,9,9,9,1,I, , , , ,space,1500,1.5,5ebba48f7e02a0174ea835a9,001,2021-08-19_16h30.20.318,natb3,2021.2.3,Win32,60.0240096,5ebba48f7e02a0174ea835a9,611e07ecdcc96256ae8d5b80,611e78f86ad5fd0a2282fd39,
,,,,space,0.333,,0,10,10,170,1,Z, , , , ,space,2000,2,5ebba48f7e02a0174ea835a9,001,2021-08-19_16h30.20.318,natb3,2021.2.3,Win32,60.0240096,5ebba48f7e02a0174ea835a9,611e07ecdcc96256ae8d5b80,611e78f86ad5fd0a2282fd39,
