key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_4.rt
return,12.9651,space,21.8387,space,0.4644,,0,0,0,152,1,U, , , , ,space,2000,2,5ed6d1a6c3b8621515caafa3,001,2021-08-17_17h30.45.678,natb3,2021.2.3,Win32,60.18657839,5ed6d1a6c3b8621515caafa3,6107d0959f7c4c3641818b95,611be51f31d73786f4ff194b,
,,,,space,0.258,,0,1,1,112,1,Q, , , , ,space,2500,2.5,5ed6d1a6c3b8621515caafa3,001,2021-08-17_17h30.45.678,natb3,2021.2.3,Win32,60.18657839,5ed6d1a6c3b8621515caafa3,6107d0959f7c4c3641818b95,611be51f31d73786f4ff194b,
,,,,space,0.3605,,0,2,2,301,1,P, , , , ,space,1500,1.5,5ed6d1a6c3b8621515caafa3,001,2021-08-17_17h30.45.678,natb3,2021.2.3,Win32,60.18657839,5ed6d1a6c3b8621515caafa3,6107d0959f7c4c3641818b95,611be51f31d73786f4ff194b,
,,,,space,0.3006,,0,3,3,73,1,Y, , , , ,space,2000,2,5ed6d1a6c3b8621515caafa3,001,2021-08-17_17h30.45.678,natb3,2021.2.3,Win32,60.18657839,5ed6d1a6c3b8621515caafa3,6107d0959f7c4c3641818b95,611be51f31d73786f4ff194b,
,,,,space,0.3822,,0,4,4,24,1,L, , , , ,space,2500,2.5,5ed6d1a6c3b8621515caafa3,001,2021-08-17_17h30.45.678,natb3,2021.2.3,Win32,60.18657839,5ed6d1a6c3b8621515caafa3,6107d0959f7c4c3641818b95,611be51f31d73786f4ff194b,
,,,,space,0.4223,,0,5,5,126,1,A, , , , ,space,2500,2.5,5ed6d1a6c3b8621515caafa3,001,2021-08-17_17h30.45.678,natb3,2021.2.3,Win32,60.18657839,5ed6d1a6c3b8621515caafa3,6107d0959f7c4c3641818b95,611be51f31d73786f4ff194b,
,,,,space,0.5066,,0,6,6,49,1,S, , , , ,space,1500,1.5,5ed6d1a6c3b8621515caafa3,001,2021-08-17_17h30.45.678,natb3,2021.2.3,Win32,60.18657839,5ed6d1a6c3b8621515caafa3,6107d0959f7c4c3641818b95,611be51f31d73786f4ff194b,
,,,,space,0.5074,,0,7,7,6,1,Y, , , , ,space,2500,2.5,5ed6d1a6c3b8621515caafa3,001,2021-08-17_17h30.45.678,natb3,2021.2.3,Win32,60.18657839,5ed6d1a6c3b8621515caafa3,6107d0959f7c4c3641818b95,611be51f31d73786f4ff194b,
,,,,space,0.4152,,0,8,8,317,1,C, , , , ,space,2000,2,5ed6d1a6c3b8621515caafa3,001,2021-08-17_17h30.45.678,natb3,2021.2.3,Win32,60.18657839,5ed6d1a6c3b8621515caafa3,6107d0959f7c4c3641818b95,611be51f31d73786f4ff194b,
,,,,,,,0,9,9,162,1,X,1,6, ,2,,1500,1.5,5ed6d1a6c3b8621515caafa3,001,2021-08-17_17h30.45.678,natb3,2021.2.3,Win32,60.18657839,5ed6d1a6c3b8621515caafa3,6107d0959f7c4c3641818b95,611be51f31d73786f4ff194b,
