key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_4.rt
return,12.6819,space,27.2732,space,0.6144,,0,0,0,100,1,M, , , , ,space,2000,2,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,,,,0,1,1,15,1,X, , , , ,,1500,1.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,space,0.3792,,0,2,2,19,1,G, , , , ,space,1500,1.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,,,,0,3,3,291,1,X, , , , ,,2000,2,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,space,0.4709,,0,4,4,34,1,Q, , , , ,space,2500,2.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,space,0.3977,,0,5,5,221,1,I, , , , ,space,2500,2.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,,,,0,6,6,191,1,X,1, ,3,4,,2500,2.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,,,,0,7,7,287,1,X, ,2, ,9,,2000,2,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,space,0.5197,,0,8,8,206,1,V, , , , ,space,2000,2,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,space,0.3997,,0,9,9,98,1,X, , , , ,,2500,2.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,space,0.4204,,0,10,10,28,1,V, , , , ,space,1500,1.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,,,,0,11,11,211,1,X, , , , ,,2500,2.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,space,0.4722,,0,12,12,58,1,L, , , , ,space,2000,2,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,space,0.497,,0,13,13,193,1,S, , , , ,space,2500,2.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,space,0.4735,,0,14,14,32,1,M, , , , ,space,1500,1.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,,,,0,15,15,247,1,Z, , , , ,space,1500,1.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,space,0.4682,,0,16,16,140,1,B, , , , ,space,2500,2.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,space,0.4865,,0,17,17,124,1,P, , , , ,space,2000,2,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,space,0.4994,,0,18,18,194,1,D, , , , ,space,2000,2,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,space,0.5286,,0,19,19,99,1,N, , , , ,space,2500,2.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,,,,0,20,20,236,1,X,3, ,4,7,,2500,2.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,space,0.5205,,0,21,21,327,1,E, , , , ,space,1500,1.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
,,,,,,,0,22,22,74,1,X, ,4,3,2,,1500,1.5,60fd7559dfb3bc7f863f47a3,001,2021-08-19_16h48.46.316,natb3,2021.2.3,Win32,39.84222479,60fd7559dfb3bc7f863f47a3,611e07ecdcc96256ae8d5b80,611e7b7cbe3611cac16fbdbf,
