key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_4.rt
return,21.4824,space,11.7156,space,0.8387,,0,0,0,260,1,R, , , , ,space,2000,2,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,space,0.5306,,0,1,1,97,1,B, , , , ,space,2500,2.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,space,0.4693,,0,2,2,142,1,N, , , , ,space,2500,2.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,space,0.5254,,0,3,3,139,1,V, , , , ,space,2000,2,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,,,,0,4,4,15,1,X, , , , ,,1500,1.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,space,0.461,,0,5,5,177,1,M, , , , ,space,2500,2.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,,,,0,6,6,60,1,X,7,3,5, ,,1500,1.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,space,0.5153,,0,7,7,333,1,I, , , , ,space,1500,1.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,space,0.5652,,0,8,8,72,1,T, , , , ,space,1500,1.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,,,,0,9,9,31,1,X, , , , ,,1500,1.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,,,,0,10,10,98,1,X, , , , ,,2500,2.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,,,,0,11,11,69,1,X, , , , ,,1500,1.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,,,,0,12,12,51,1,X,7,5,8, ,,1500,1.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,space,0.5205,,0,13,13,28,1,V, , , , ,space,1500,1.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,space,0.6062,,0,14,14,189,1,O, , , , ,space,1500,1.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,space,0.4646,,0,15,15,112,1,Q, , , , ,space,2500,2.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,space,0.51,,0,16,16,202,1,L, , , , ,space,2500,2.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,space,0.7227,,0,17,17,140,1,B, , , , ,space,2500,2.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,space,0.7613,,0,18,18,251,1,B, , , , ,space,1500,1.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,space,0.9182,,0,19,19,328,1,R, , , , ,space,1500,1.5,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
,,,,space,0.6845,,0,20,20,324,1,Q, , , , ,space,2000,2,610c2fa7c00d1fe37f49a110,001,2021-08-19_16h29.56.208,natb3,2021.2.3,Win32,59.17860102,610c2fa7c00d1fe37f49a110,611e07ecdcc96256ae8d5b80,611e77838905a8420b90e703,
