key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_4.rt
return,66.0271,space,20.1754,space,0.3724,,0,0,0,214,1,W, , , , ,space,2000,2,Elizabeth,001,2021-08-19_16h26.44.999,natb3,2021.2.3,Win32,60.0060006,60dfa3267e2f2d74059493ad,611e07ecdcc96256ae8d5b80,611e781c9d2973e37de6b33c,
,,,,space,0.2633,,0,1,1,236,1,X,3, ,4,7,,2500,2.5,Elizabeth,001,2021-08-19_16h26.44.999,natb3,2021.2.3,Win32,60.0060006,60dfa3267e2f2d74059493ad,611e07ecdcc96256ae8d5b80,611e781c9d2973e37de6b33c,
,,,,space,0.3992,,0,2,2,152,1,U, , , , ,space,2000,2,Elizabeth,001,2021-08-19_16h26.44.999,natb3,2021.2.3,Win32,60.0060006,60dfa3267e2f2d74059493ad,611e07ecdcc96256ae8d5b80,611e781c9d2973e37de6b33c,
,,,,space,0.4065,,0,3,3,37,1,E, , , , ,space,2500,2.5,Elizabeth,001,2021-08-19_16h26.44.999,natb3,2021.2.3,Win32,60.0060006,60dfa3267e2f2d74059493ad,611e07ecdcc96256ae8d5b80,611e781c9d2973e37de6b33c,
,,,,space,0.4003,,0,4,4,97,1,B, , , , ,space,2500,2.5,Elizabeth,001,2021-08-19_16h26.44.999,natb3,2021.2.3,Win32,60.0060006,60dfa3267e2f2d74059493ad,611e07ecdcc96256ae8d5b80,611e781c9d2973e37de6b33c,
,,,,,,,0,5,5,255,1,X, , , , ,,1500,1.5,Elizabeth,001,2021-08-19_16h26.44.999,natb3,2021.2.3,Win32,60.0060006,60dfa3267e2f2d74059493ad,611e07ecdcc96256ae8d5b80,611e781c9d2973e37de6b33c,
,,,,,,,0,6,6,129,1,X,2,3,5, ,,1500,1.5,Elizabeth,001,2021-08-19_16h26.44.999,natb3,2021.2.3,Win32,60.0060006,60dfa3267e2f2d74059493ad,611e07ecdcc96256ae8d5b80,611e781c9d2973e37de6b33c,
,,,,space,0.3486,,0,7,7,314,1,L, , , , ,space,1500,1.5,Elizabeth,001,2021-08-19_16h26.44.999,natb3,2021.2.3,Win32,60.0060006,60dfa3267e2f2d74059493ad,611e07ecdcc96256ae8d5b80,611e781c9d2973e37de6b33c,
,,,,space,0.4529,,0,8,8,223,1,Q, , , , ,space,2000,2,Elizabeth,001,2021-08-19_16h26.44.999,natb3,2021.2.3,Win32,60.0060006,60dfa3267e2f2d74059493ad,611e07ecdcc96256ae8d5b80,611e781c9d2973e37de6b33c,
,,,,space,0.3195,,0,9,9,315,1,X, , , , ,,2500,2.5,Elizabeth,001,2021-08-19_16h26.44.999,natb3,2021.2.3,Win32,60.0060006,60dfa3267e2f2d74059493ad,611e07ecdcc96256ae8d5b80,611e781c9d2973e37de6b33c,
