key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.rt,key_resp_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimulus,distractor1,distractor2,distractor3,distractor4,CorrAns,isi_duration,isi_dur_in_seconds,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,key_resp_4.rt
return,9.4089,space,94.2532,space,0.5725,,0,0,0,306,1,D, , , , ,space,2000,2,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.3565,,0,1,1,30,1,N, , , , ,space,2500,2.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.3418,,0,2,2,176,1,N, , , , ,space,1500,1.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.4259,,0,3,3,128,1,D, , , , ,space,2500,2.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.3312,,0,4,4,29,1,B, , , , ,space,1500,1.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.3096,,0,5,5,297,1,U, , , , ,space,2000,2,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.2472,,0,6,6,180,1,W, , , , ,space,2000,2,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.332,,0,7,7,216,1,R, , , , ,space,1500,1.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.3161,,0,8,8,100,1,M, , , , ,space,2000,2,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,,,,0,9,9,233,1,X, ,2, ,5,,1500,1.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.3158,,0,10,10,284,1,V, , , , ,space,2500,2.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.2729,,0,11,11,126,1,A, , , , ,space,2500,2.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.2586,,0,12,12,142,1,N, , , , ,space,2500,2.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.2898,,0,13,13,214,1,W, , , , ,space,2000,2,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.2762,,0,14,14,63,1,B, , , , ,space,2000,2,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.29,,0,15,15,245,1,K, , , , ,space,2000,2,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.3491,,0,16,16,325,1,X, , , , ,,2500,2.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.3162,,0,17,17,47,1,P, , , , ,space,2000,2,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.2919,,0,18,18,332,1,U, , , , ,space,2000,2,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,,,,0,19,19,157,1,A, , , , ,space,2500,2.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,,,,0,20,20,318,1,X, , , , ,,1500,1.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.4832,,0,21,21,146,1,W, , , , ,space,1500,1.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.4061,,0,22,22,73,1,Y, , , , ,space,2000,2,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,,,,0,23,23,60,1,X,7,3,5, ,,1500,1.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.3533,,0,24,24,83,1,D, , , , ,space,2000,2,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.2893,,0,25,25,197,1,G, , , , ,space,2500,2.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.2421,,0,26,26,331,1,Y, , , , ,space,2500,2.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.3668,,0,27,27,48,1,A, , , , ,space,2500,2.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
,,,,space,0.3072,,0,28,28,21,1,J, , , , ,space,1500,1.5,,001,2021-08-19_16h09.02.693,natb3,2021.2.3,MacIntel,60.0024001,610ea2d0044e58da001f025d,611e07ecdcc96256ae8d5b80,611e72fb3bdb1cf49aef65c6,
